yyyy	mm	dd	sf(m3/s)	sed(t/ha)	orgn(kg/ha)	orgp(kg/ha)	no3n(kg/ha)	nh4n(kg/ha)	no2n(kg/ha)	minp(kg/ha)	solpst(mg/ha)	sorpst(mg/ha)	tp(kg/ha)	tn(kg/ha)	tpst(ppb)
2011	1	1	3.06	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	2	3.77	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	3	2.24	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	4	1.39	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	5	0.99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	6	0.79	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	7	0.68	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	8	0.62	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	9	0.54	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	10	0.48	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	11	0.45	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	12	0.40	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	13	0.37	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	14	0.34	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	15	0.31	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	16	0.31	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	17	0.28	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	18	0.28	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	19	0.27	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	20	0.27	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	21	0.24	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	22	0.23	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	23	0.22	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	24	0.21	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	25	0.22	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	26	0.20	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	27	0.22	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	28	0.21	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2011	1	29	0.21	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
