yyyy	mm	dd	sf(m3/s)	sed(t/ha)	orgn(kg/ha)	orgp(kg/ha)	no3n(kg/ha)	nh4n(kg/ha)	no2n(kg/ha)	minp(kg/ha)	solpst(mg/ha)	sorpst(mg/ha)	tp(kg/ha)	tn(kg/ha)	tpst(ppb)
2007	1	1	556	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	2	1	493	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	3	1	375	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	4	1	461	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	5	1	405	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	6	1	532	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	7	1	541	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	8	1	1450	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	9	1	1090	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	10	1	632	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	11	1	507	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2007	12	1	491	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	1	1	587	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	2	1	370	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	3	1	468	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	4	1	531	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	5	1	672	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	6	1	673	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	7	1	788	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	8	1	840	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	9	1	588	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2008	10	1	378	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
